Similarity,OEO_Label,OEO_IRI,BEO_Label,BEO_IRI
0.9273576736450195,object,http://purl.obolibrary.org/obo/BFO_0000030,Physical object,https://saref.etsi.org/saref4bldg/PhysicalObject
0.9269382357597351,heat pump,http://openenergy-platform.org/ontology/oeo/OEO_00000212,Pump,http://energy.linkeddata.es/em-kpi/ontology#Pump
0.9269382357597351,heat pump,http://openenergy-platform.org/ontology/oeo/OEO_00000212,Pump,https://saref.etsi.org/saref4bldg/Pump
0.9269382357597351,heat pump,http://openenergy-platform.org/ontology/oeo/OEO_00000212,Pump,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Pump
0.918999433517456,water flow,http://openenergy-platform.org/ontology/oeo/OEO_00110002,Flow,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow
0.917271077632904,meter,http://purl.obolibrary.org/obo/UO_0000008,Energy meter,https://w3id.org/saref#EnergyMeter
0.9159163236618042,traction motor,http://openenergy-platform.org/ontology/oeo/OEO_00010254,Electric motor,https://saref.etsi.org/saref4bldg/ElectricMotor
0.9152387380599976,object,http://purl.obolibrary.org/obo/BFO_0000030,Building object,https://saref.etsi.org/saref4bldg/BuildingObject
0.9140950441360474,heater,http://openenergy-platform.org/ontology/oeo/OEO_00000210,Space heater,https://saref.etsi.org/saref4bldg/SpaceHeater
0.9140950441360474,heater,http://openenergy-platform.org/ontology/oeo/OEO_00000210,Space heater,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Space_heater
0.9096490144729614,ramping,http://openenergy-platform.org/ontology/oeo/OEO_00260001,Ramp,https://w3id.org/sbeo#Ramp
0.9084986448287964,unit,http://purl.obolibrary.org/obo/UO_0000000,Energy unit,https://saref.etsi.org/core/EnergyUnit
0.9084986448287964,unit,http://purl.obolibrary.org/obo/UO_0000000,Energy unit,https://w3id.org/saref#EnergyUnit
0.906711220741272,evaporation,http://openenergy-platform.org/ontology/oeo/OEO_00310041,Evaporator,https://saref.etsi.org/saref4bldg/Evaporator
0.9053641557693481,battery,http://openenergy-platform.org/ontology/oeo/OEO_00000068,Battery storage,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Battery_storage
0.9043043851852417,energy system model,http://openenergy-platform.org/ontology/oeo/OEO_00030015,Energy System,http://www.owl-ontologies.com/EPC4EU#EnergySystem
0.9035764932632446,fuel commodity,http://openenergy-platform.org/ontology/oeo/OEO_00020068,Commodity,https://w3id.org/saref#Commodity
0.9032624959945679,meter,http://purl.obolibrary.org/obo/UO_0000008,Power meter,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Power_meter
0.9005548357963562,renewable,http://openenergy-platform.org/ontology/oeo/OEO_00030004,Micro renewable,https://w3id.org/saref#MicroRenewable
0.9003390073776245,tank ship,http://openenergy-platform.org/ontology/oeo/OEO_00010290,Tank,https://saref.etsi.org/saref4bldg/Tank
0.9003390073776245,tank ship,http://openenergy-platform.org/ontology/oeo/OEO_00010290,Tank,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Tank
0.9000802040100098,greenhouse gas,http://openenergy-platform.org/ontology/oeo/OEO_00000020,Greenhouse,https://w3id.org/seas/Greenhouse
